Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.42     0.00      129     0.00     0.00  void std::__advance<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, long>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >&, long, std::random_access_iterator_tag)
  0.00      0.42     0.00      129     0.00     0.00  void std::__advance<std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>, long>(std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>&, long, std::random_access_iterator_tag)
  0.00      0.42     0.00      124     0.00     0.00  std::operator-(std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> const&, std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> const&)
  0.00      0.42     0.00      102     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<unsigned int, unsigned int>*, std::vector<std::pair<unsigned int, unsigned int>, std::allocator<std::pair<unsigned int, unsigned int> > > >::__normal_iterator(std::pair<unsigned int, unsigned int>* const&)
  0.00      0.42     0.00      102     0.00     0.00  std::operator==(std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> const&, std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> const&)
  0.00      0.42     0.00      102     0.00     0.00  std::operator!=(std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> const&, std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> const&)
  0.00      0.42     0.00      101     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >::operator++()
  0.00      0.42     0.00      100     0.00     0.00  std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>::operator++(int)
  0.00      0.42     0.00      100     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.42     0.00       96     0.00     0.00  void std::swap<unsigned int>(unsigned int&, unsigned int&)
  0.00      0.42     0.00       94     0.00     0.00  void std::_Destroy_aux<true>::__destroy<unsigned int*>(unsigned int*, unsigned int*)
  0.00      0.42     0.00       94     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_deallocate(unsigned int*, unsigned long)
  0.00      0.42     0.00       94     0.00     0.00  void std::_Destroy<unsigned int*>(unsigned int*, unsigned int*)
  0.00      0.42     0.00       94     0.00     0.00  void std::_Destroy<unsigned int*, unsigned int>(unsigned int*, unsigned int*, std::allocator<unsigned int>&)
  0.00      0.42     0.00       89     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<unsigned int>, unsigned int>::deallocate(std::allocator<unsigned int>&, unsigned int*, unsigned long)
  0.00      0.42     0.00       89     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<unsigned int>, unsigned int>::allocate(std::allocator<unsigned int>&, unsigned long)
  0.00      0.42     0.00       89     0.00     0.00  std::__new_allocator<unsigned int>::deallocate(unsigned int*, unsigned long)
  0.00      0.42     0.00       89     0.00     0.00  std::__new_allocator<unsigned int>::allocate(unsigned long, void const*)
  0.00      0.42     0.00       86     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_M_check_len(unsigned long, char const*) const
  0.00      0.42     0.00       86     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_allocate(unsigned long)
  0.00      0.42     0.00       86     0.00     0.00  std::vector<std::pair<unsigned int, unsigned int>, std::allocator<std::pair<unsigned int, unsigned int> > >::end()
  0.00      0.42     0.00       85     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_M_realloc_insert(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int const&)
  0.00      0.42     0.00       77     0.00     0.00  std::deque<unsigned int, std::allocator<unsigned int> >::size() const
  0.00      0.42     0.00       76     0.00     0.00  std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>::_M_set_node(unsigned int**)
  0.00      0.42     0.00       74     0.00     0.00  bool __gnu_cxx::operator!=<std::pair<unsigned int, unsigned int>*, std::vector<std::pair<unsigned int, unsigned int>, std::allocator<std::pair<unsigned int, unsigned int> > > >(__gnu_cxx::__normal_iterator<std::pair<unsigned int, unsigned int>*, std::vector<std::pair<unsigned int, unsigned int>, std::allocator<std::pair<unsigned int, unsigned int> > > > const&, __gnu_cxx::__normal_iterator<std::pair<unsigned int, unsigned int>*, std::vector<std::pair<unsigned int, unsigned int>, std::allocator<std::pair<unsigned int, unsigned int> > > > const&)
  0.00      0.42     0.00       74     0.00     0.00  std::operator+(std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> const&, long)
  0.00      0.42     0.00       71     0.00     0.00  std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> std::__niter_base<std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> >(std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>)
  0.00      0.42     0.00       68     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<unsigned int, unsigned int>*, std::vector<std::pair<unsigned int, unsigned int>, std::allocator<std::pair<unsigned int, unsigned int> > > >::operator++()
  0.00      0.42     0.00       62     0.00     0.00  void std::_Construct<std::pair<unsigned int, unsigned int>, std::pair<unsigned int, unsigned int> >(std::pair<unsigned int, unsigned int>*, std::pair<unsigned int, unsigned int> const&)
  0.00      0.42     0.00       62     0.00     0.00  std::pair<unsigned int, unsigned int>* std::__addressof<std::pair<unsigned int, unsigned int> >(std::pair<unsigned int, unsigned int>&)
  0.00      0.42     0.00       53     0.00     0.00  bool __gnu_cxx::operator!=<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > const&, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > const&)
  0.00      0.42     0.00       53     0.00     0.00  std::deque<unsigned int, std::allocator<unsigned int> >::push_back(unsigned int const&)
  0.00      0.42     0.00       50     0.00     0.00  void __gnu_cxx::__alloc_traits<std::allocator<std::pair<unsigned int, unsigned int> >, std::pair<unsigned int, unsigned int> >::construct<std::pair<unsigned int, unsigned int> >(std::allocator<std::pair<unsigned int, unsigned int> >&, std::pair<unsigned int, unsigned int>*, std::pair<unsigned int, unsigned int> const&)
  0.00      0.42     0.00       50     0.00     0.00  std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>::operator[](long) const
  0.00      0.42     0.00       50     0.00     0.00  std::numeric_limits<unsigned int>::max()
  0.00      0.42     0.00       50     0.00     0.00  std::__new_allocator<std::pair<unsigned int, unsigned int> >::construct(std::pair<unsigned int, unsigned int>*, std::pair<unsigned int, unsigned int> const&)
  0.00      0.42     0.00       50     0.00     0.00  std::pair<unsigned int, unsigned int>::pair(unsigned int const&, unsigned int const&)
  0.00      0.42     0.00       50     0.00     0.00  std::deque<unsigned int, std::allocator<unsigned int> >::operator[](unsigned long)
  0.00      0.42     0.00       50     0.00     0.00  std::vector<std::pair<unsigned int, unsigned int>, std::allocator<std::pair<unsigned int, unsigned int> > >::push_back(std::pair<unsigned int, unsigned int> const&)
